全部,#genre#
CCTV5,http://27.10.76.217:8006/udp/225.0.4.143:7980
CCTV5+,http://27.10.76.217:8006/udp/225.0.4.73:7980
CCTV6,http://27.10.76.217:8006/udp/225.0.4.144:7980
CCTV7,http://27.10.76.217:8006/udp/225.0.4.127:7980
CCTV8,http://27.10.76.217:8006/udp/225.0.4.137:7980
CCTV9,http://27.10.76.217:8006/udp/225.0.4.131:7980
CCTV10,http://27.10.76.217:8006/udp/225.0.4.130:7980
CCTV11,http://27.10.76.217:8006/udp/225.0.4.218:7980
CCTV12,http://27.10.76.217:8006/udp/225.0.4.129:7980
CCTV13,http://27.10.76.217:8006/udp/225.0.4.219:7980
CCTV14,http://27.10.76.217:8006/udp/225.0.4.128:7980
CCTV15,http://27.10.76.217:8006/udp/225.0.4.220:7980
CCTV17,http://27.10.76.217:8006/udp/225.0.4.179:7980
CGTN,http://27.10.76.217:8006/udp/225.0.4.12:7980
CCTV1,http://27.10.76.217:8001/udp/225.0.4.74:7980
CCTV2,http://27.10.76.217:8001/udp/225.0.4.132:7980
CCTV3,http://27.10.76.217:8001/udp/225.0.4.142:7980
CCTV4,http://27.10.76.217:8001/udp/225.0.4.176:7980
CCTV5,http://27.10.76.217:8001/udp/225.0.4.143:7980
CCTV5+,http://27.10.76.217:8001/udp/225.0.4.73:7980
CCTV6,http://27.10.76.217:8001/udp/225.0.4.144:7980
CCTV7,http://27.10.76.217:8001/udp/225.0.4.127:7980
CCTV8,http://27.10.76.217:8001/udp/225.0.4.137:7980
CCTV9,http://27.10.76.217:8001/udp/225.0.4.131:7980
CCTV10,http://27.10.76.217:8001/udp/225.0.4.130:7980
CCTV11,http://27.10.76.217:8001/udp/225.0.4.218:7980
CCTV12,http://27.10.76.217:8001/udp/225.0.4.129:7980
CCTV13,http://27.10.76.217:8001/udp/225.0.4.219:7980
CCTV14,http://27.10.76.217:8001/udp/225.0.4.128:7980
CCTV15,http://27.10.76.217:8001/udp/225.0.4.220:7980
CCTV17,http://27.10.76.217:8001/udp/225.0.4.179:7980
CGTN,http://27.10.76.217:8001/udp/225.0.4.12:7980
CCTV1,http://27.10.76.217:8003/udp/225.0.4.74:7980
CCTV2,http://27.10.76.217:8003/udp/225.0.4.132:7980
CCTV3,http://27.10.76.217:8003/udp/225.0.4.142:7980
CCTV4,http://27.10.76.217:8003/udp/225.0.4.176:7980
CCTV5,http://27.10.76.217:8003/udp/225.0.4.143:7980
CCTV5+,http://27.10.76.217:8003/udp/225.0.4.73:7980
CCTV6,http://27.10.76.217:8003/udp/225.0.4.144:7980
CCTV7,http://27.10.76.217:8003/udp/225.0.4.127:7980
CCTV8,http://27.10.76.217:8003/udp/225.0.4.137:7980
CCTV9,http://27.10.76.217:8003/udp/225.0.4.131:7980
CCTV10,http://27.10.76.217:8003/udp/225.0.4.130:7980
CCTV11,http://27.10.76.217:8003/udp/225.0.4.218:7980
CCTV12,http://27.10.76.217:8003/udp/225.0.4.129:7980
CCTV13,http://27.10.76.217:8003/udp/225.0.4.219:7980
CCTV14,http://27.10.76.217:8003/udp/225.0.4.128:7980
CCTV15,http://27.10.76.217:8003/udp/225.0.4.220:7980
CCTV17,http://27.10.76.217:8003/udp/225.0.4.179:7980
CGTN,http://27.10.76.217:8003/udp/225.0.4.12:7980
卫视频道,#genre#
浙江卫视,http://116.117.104.38:8096/tsfile/live/0124_1.m3u8
江苏卫视,http://116.117.104.38:8096/tsfile/live/0127_1.m3u8
湖北卫视,http://116.117.104.38:8096/tsfile/live/0132_1.m3u8
广东卫视,http://116.117.104.38:8096/tsfile/live/0125_1.m3u8
山西卫视,http://116.117.104.38:8096/tsfile/live/0118_1.m3u8
贵州卫视,http://116.117.104.38:8096/tsfile/live/0120_1.m3u8
上海卫视,http://116.117.104.38:8096/tsfile/live/0107_1.m3u8
