全部,#genre#
CGTN 新闻HD,http://114.254.188.49:9999/rtp/239.3.1.215:4220
CGTN 记录HD,http://114.254.188.49:9999/rtp/239.3.1.216:4220
CGTN 西班牙语HD,http://114.254.188.49:9999/rtp/239.3.1.217:4220
CGTN 法语HD,http://114.254.188.49:9999/rtp/239.3.1.218:4220
CGTN 阿拉伯语HD,http://114.254.188.49:9999/rtp/239.3.1.219:4220
CGTN 俄语HD,http://114.254.188.49:9999/rtp/239.3.1.220:4220
睛彩竞技HD,http://114.254.188.49:9999/rtp/239.3.1.125:8001
睛彩篮球HD,http://114.254.188.49:9999/rtp/239.3.1.126:8001
睛彩羽毛球HD,http://114.254.188.49:9999/rtp/239.3.1.127:8001
睛彩广场舞HD,http://114.254.188.49:9999/rtp/239.3.1.128:8001
茶频道HD,http://114.254.188.49:9999/rtp/239.3.1.165:8001
体育赛事HD,http://114.254.188.49:9999/rtp/239.3.1.157:8176
淘精彩HD,http://114.254.188.49:9999/rtp/239.3.1.178:8001
快乐垂钓HD,http://114.254.188.49:9999/rtp/239.3.1.164:8001
大健康HD,http://114.254.188.49:9999/rtp/239.3.1.251:8001
CETV1HD,http://114.254.188.49:9999/rtp/239.3.1.57:8152
CETV2,http://114.254.188.49:9999/rtp/239.3.1.54:4120
CETV3,http://114.254.188.49:9999/rtp/239.3.1.55:4120
CETV4,http://114.254.188.49:9999/rtp/239.3.1.56:4120
少儿动画,http://114.254.188.49:9999/rtp/239.3.1.199:9000
热播剧场,http://114.254.188.49:9999/rtp/239.3.1.194:9020
解密,http://114.254.188.49:9999/rtp/239.3.1.75:4120
军事,http://114.254.188.49:9999/rtp/239.3.1.76:4120
军旅剧场,http://114.254.188.49:9999/rtp/239.3.1.68:4120
动画,http://114.254.188.49:9999/rtp/239.3.1.80:4120
古装剧场,http://114.254.188.49:9999/rtp/239.3.1.69:4120
台球,http://114.254.188.49:9999/rtp/239.3.1.85:4120
嘉佳卡通,http://114.254.188.49:9999/rtp/239.3.1.147:9268
国学,http://114.254.188.49:9999/rtp/239.3.1.77:4120
城市剧场,http://114.254.188.49:9999/rtp/239.3.1.67:4120
墨宝,http://114.254.188.49:9999/rtp/239.3.1.83:4120
好学生,http://114.254.188.49:9999/rtp/239.3.1.81:4120
山东教育,http://114.254.188.49:9999/rtp/239.3.1.52:4120
戏曲,http://114.254.188.49:9999/rtp/239.3.1.78:4120
收视指南,http://114.254.188.49:9999/rtp/239.3.1.193:8012
早教,http://114.254.188.49:9999/rtp/239.3.1.79:4120
武侠剧场,http://114.254.188.49:9999/rtp/239.3.1.90:4120
武术,http://114.254.188.49:9999/rtp/239.3.1.87:4120
爱生活,http://114.254.188.49:9999/rtp/239.3.1.86:4120
美人,http://114.254.188.49:9999/rtp/239.3.1.73:4120
美妆,http://114.254.188.49:9999/rtp/239.3.1.72:4120
